"2MASSID		",Epoch(JD),RV(prim),RV(sec),Residuals
06413207+1001049,2456323.713(f),73.3474,38.3901,0.4395
06413207+1001049,2456346.586,74.272,25.7058,1.1172
06400851+0944134,2456204.998,2.0569,65.2386,0.9769
06400851+0944134,2456230.986,58.2321,-4.4213,0.257
06400851+0944134,2456237.915,58.7686,-3.7443,0.5882
06400851+0944134,2456315.702(f),1.3394,62.9294,1.0495
06400851+0944134,2456323.713(f),57.3651,-4.067,0.6981
06400851+0944134,2456346.586,54.4527,1.2261,0.4394
06410360+0930290,2456204.998,20.3356,21.7293,1.8284
06410360+0930290,2456230.986,49.2152,-4.6231,1.8733
06410360+0930290,2456315.702(f),-2.471,51.4192,1.2111
06410360+0930290,2456323.713,26.7327,17.4875,0.063
06410360+0930290,2456346.586,30.4198,11.3613,1.319
05342386-0515403,2456607.863,33.0879,36.802,0.3217
05342386-0515403,2456629.829(f),1.9436,74.8304,2.5935
05342386-0515403,2456630.795,0.5689,84.844,2.1672
05342386-0515403,2456635.791,76.0315,-23.3562,0.1885
05342386-0515403,2456636.786,74.6372,-20.6101,0.2931
06413433+0925533,2456230.986,18.1889,14.3854,0.7396
06413433+0925533,2456237.915,16.4157,14.3338,0.9947
06413433+0925533,2456315.702,21.4551,35.2258,0.1642
06413433+0925533,2456323.713,19.8141,28.9846,0.3153
06413433+0925533,2456346.586,18.3636,17.1658,0.4061
03490216+3242086,2456561.992,25.0402,29.8634,0.5484
03490216+3242086,2456675.565,24.5144,28.1334,0.8917
03490216+3242086,2456701.589,10.0375,50.2516,0.3449
03490216+3242086,2456703.59,9.1488,47.5475,1.9602
03490216+3242086,2456706.602,17.1426,43.1845,1.9586
03443482+3211180,2456168.941,-17.2869,53.0055,0.5782
03443482+3211180,2456172.974,68.1568,-39.4889,0.9739
03443482+3211180,2456675.565(f),-10.5445,47.2875,0.6026
03443482+3211180,2456703.59,66.5748,-40.6793,0.9983
03444495+3213364,2456171.976,2.3097,29.0769,0.8161
03444495+3213364,2456235.774,16.0115,16.2442,0.8749
